save_id,course_code,course_name,course_implementations,teachers,eval_overall,eval_methods_supported_learning,eval_study_effort,eval_workload,factors_accessibility,I estimate my own attendance percentage at,The course content and objectives corresponded to those of the course description.,I was satisfied with the practical course arrangements.,The actual teaching times correspond to the scheduled teaching times announced in Sisu.,"If you wish, you can complete your answer about the actual teaching times:",The assessment criteria for the course were clearly explained at the beginning of the course.,How would you develop the course?,Feedback I have given can be processed and a summary can be made of it even if less than 5 students have given feedback.,Teaching was,I achieved the learning outcomes set for the course.,"How could learning technology (e.g. Panopto, Presemo, Flinga) be used in this course to better support your learning?",The course engaged me to reflect on issues related to ecological sustainability.,The course engaged me to reflect on issues related to social sustainability.,How could sustainability-related topics or data be integrated in this course?,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The course content and objectives corresponded to those of the course description.,How was your study motivation affected by the course?,"Compared with other courses of similar level that I have completed at the school, the course was","The course enhanced my general skills (such as teamwork skills, writing skills, problem-solving skills and a systematic working approach)."," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)", I understood what I was supposed to learn in this course.," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)",eval_benefit,What was good about the course? Which factors in particular supported your learning?,What needed improvement on the course? Which factors complicated your learning?,I contacted the professor when needed (eg during office hours).,"The instructor communicated well in class, eg gave clear presentations in English, answered questions and explained difficult material.",The instructor encouraged interaction in class.,The instructor gave me feedback in good time on my progress during the course.,"The course materials (eg textbook, slides, cases, other material) supported my learning.",The MyCourses online learning environment was used effectively in this course.,The course required a lot of work.,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The teaching was motivating and inspiring.,The reason for attending the course:,"For another reason, which is…",Did the course meet your expectations? Comments and proposals for improvements:,In case you discontinued the course: what was the reason?,"Comments on practical arrangements (for example timetables, teaching facilities, informing policy):","Your feedback on Open University services (for example course offerings, IT systems, registration, customer service, student counselling, exam arrangements):",How likely would you recommend this course to your friends and family?,I had sufficient prior knowledge on the topic to do well on the course. ,I achieved the learning outcomes set for the course.,What worked well on the course?,How would you develop the course?,The competencies acquired during this course will be beneficial for my teaching.,I would recommend the course to my colleagues.,Any other feedback to the course organiser(s)?
94880,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
94912,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,2,1,The recorded lectures were nice and increased the accessibility. The flipped classrooms encouraged participation.,,,,,,,,,,,,,,,,,,,,,,,,5,"The recorded lectures were great, although a bit more throughout discussion would have been beneficial. The assignments really forced us to search data sets by ourselves, which is something that I think is an important skill. The feedback from assistants was really beneficial, and also the github-repository was nice. I personally liked the flipped classroom method, even though there were not as much discussion and interaction that I would have preferred.","Choosing the SDG topic, sticking to it, and finding suitable data sets for the assignments was sometimes tricky. I didn't quite understand the idea of the assignments sometimes, and finding high-dimensional datasets to visualize was not easy. I think it would be beneficial if there were some ready data sets, even just for example plotting. ",,,,,,,,,,,,,,,,,,,,,,,,
94961,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95000,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,Interesting topic for the course and great assignment tasks. ,,,,,,,,,,,,,,,,,,,,,,,,,
95023,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,3,3,the assignments were kind of fun and definitely helped me learn!,,,,,,,,,,,,,,,,,,,,,,,,5,"Again, the assignments were good! I also liked the quizzes.",-,,,,,,,,,,,,,,,,,,,,,,,,
95024,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
95212,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
95375,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
95388,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,2,4,3,I liked the video lectures were informative and clear. It was a plus that the course book was also in Finnish.,,,,,,,,,,,,,,,,,,,,,,,,5,The video lectures were clear and informative,The quizzes felt odd and I would have liked to learn more on the technical implementation side(e.g. coding the visualizations),,,,,,,,,,,,,,,,,,,,,,,,
95418,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
